datetime,glucose
2024-01-01 00:00:00,96.2
2024-01-01 00:05:00,101.7
2024-01-01 00:10:00,94.8
2024-01-01 00:15:00,100.4
2024-01-01 00:20:00,92.7
2024-01-01 00:25:00,96.9
2024-01-01 00:30:00,98.6
2024-01-01 00:35:00,100.1
2024-01-01 00:40:00,100.6
2024-01-01 00:45:00,101.1
2024-01-01 00:50:00,97.9
2024-01-01 00:55:00,97.8
2024-01-01 01:00:00,102.0
2024-01-01 01:05:00,99.1
2024-01-01 01:10:00,96.0
2024-01-01 01:15:00,96.7
2024-01-01 01:20:00,97.6
2024-01-01 01:25:00,102.1
2024-01-01 01:30:00,101.3
2024-01-01 01:35:00,103.2
2024-01-01 01:40:00,100.1
2024-01-01 01:45:00,102.1
2024-01-01 01:50:00,103.8
2024-01-01 01:55:00,101.3
2024-01-01 02:00:00,103.9
2024-01-01 02:05:00,100.8
2024-01-01 02:10:00,102.0
2024-01-01 02:15:00,102.2
2024-01-01 02:20:00,100.1
2024-01-01 02:25:00,105.4
2024-01-01 02:30:00,102.9
2024-01-01 02:35:00,104.6
2024-01-01 02:40:00,106.3
2024-01-01 02:45:00,106.5
2024-01-01 02:50:00,107.5
2024-01-01 02:55:00,105.5
2024-01-01 03:00:00,104.8
2024-01-01 03:05:00,106.2
2024-01-01 03:10:00,101.7
2024-01-01 03:15:00,102.7
2024-01-01 03:20:00,103.4
2024-01-01 03:25:00,104.7
2024-01-01 03:30:00,109.2
2024-01-01 03:35:00,105.7
2024-01-01 03:40:00,107.6
2024-01-01 03:45:00,112.9
2024-01-01 03:50:00,108.3
2024-01-01 03:55:00,111.9
2024-01-01 04:00:00,107.2
2024-01-01 04:05:00,109.7
2024-01-01 04:10:00,107.8
2024-01-01 04:15:00,110.0
2024-01-01 04:20:00,113.8
2024-01-01 04:25:00,106.5
2024-01-01 04:30:00,113.3
2024-01-01 04:35:00,113.0
2024-01-01 04:40:00,110.8
2024-01-01 04:45:00,108.6
2024-01-01 04:50:00,113.5
2024-01-01 04:55:00,112.0
2024-01-01 05:00:00,114.6
2024-01-01 05:05:00,114.3
2024-01-01 05:10:00,119.3
2024-01-01 05:15:00,114.1
2024-01-01 05:20:00,112.1
2024-01-01 05:25:00,116.0
2024-01-01 05:30:00,116.4
2024-01-01 05:35:00,120.1
2024-01-01 05:40:00,118.8
2024-01-01 05:45:00,117.7
2024-01-01 05:50:00,121.3
2024-01-01 05:55:00,113.6
2024-01-01 06:00:00,115.6
2024-01-01 06:05:00,115.0
2024-01-01 06:10:00,116.9
2024-01-01 06:15:00,114.2
2024-01-01 06:20:00,120.5
2024-01-01 06:25:00,118.2
2024-01-01 06:30:00,114.7
2024-01-01 06:35:00,116.3
2024-01-01 06:40:00,120.6
2024-01-01 06:45:00,122.4
2024-01-01 06:50:00,126.1
2024-01-01 06:55:00,129.1
2024-01-01 07:00:00,121.8
2024-01-01 07:05:00,117.9
2024-01-01 07:10:00,114.7
2024-01-01 07:15:00,122.1
2024-01-01 07:20:00,119.1
2024-01-01 07:25:00,120.5
2024-01-01 07:30:00,120.1
2024-01-01 07:35:00,121.7
2024-01-01 07:40:00,125.5
2024-01-01 07:45:00,122.9
2024-01-01 07:50:00,122.2
2024-01-01 07:55:00,119.7
2024-01-01 08:00:00,146.0
2024-01-01 08:05:00,154.9
2024-01-01 08:10:00,161.8
2024-01-01 08:15:00,173.2
2024-01-01 08:20:00,174.5
2024-01-01 08:25:00,183.2
2024-01-01 08:30:00,184.9
2024-01-01 08:35:00,188.6
2024-01-01 08:40:00,194.5
2024-01-01 08:45:00,199.9
